no	id	skk_key	notation	reading	method	judgment	note
321	954645-131-0016	いたりまっしゃ	至末社	いたり-まっしゃ	align	o	
322	954647-614-0028	なまえにん	名前人	なまへにん	align	o	
323	954647-010-0030	すきやげた	數寄屋下駄	すきや-げた	align	o	
324	954646-607-0037	しんそ	親疎	しん-そ	L	o	
325	954646-617-0006	しんりがく	心理學	しんり-がく	L	o	
326	954646-581-0048	しらすげの	白菅之	しらすげ-の	align	o	
327	954646-516-0052	しょうむきょく	商務局	しゃうむ-きょく	align	o	
328	954646-529-0043	しゃば	娑婆	しやば	L	o	
329	954647-113-0029	せんきょがかり	選擧掛	せんきょがかり	align	o	
330	954648-152-0003	ばんこくどうめい	萬國同盟	ばんこく-どうめい	align	o	
331	954648-609-0045	よふん	餘憤	よふん	L	o	
332	954646-280-0059	こねり	木練	こねり	align	o	
333	954646-617-0037	しんりんけいさつ	森林警察	しんりん-けいさつ	align	o	
334	954647-148-0015	ぞくし	族子	ぞくし	align	o	
335	954648-502-0019	めいろ	迷路	めいろ	L	o	
336	954647-457-0068	てとりなべ	手取鍋	てとり-なべ	align	o	
337	954648-464-0005	みめぐり	見巡	み-めぐり	align	o	
338	954648-378-0038	ほんじゅく	本宿	ほんじゅく	align	o	
339	954648-672-0002	れんしゃ	蓮舍	れんしゃ	align	o	
340	954648-368-0048	ぼはん	墓畔	ぼ-はん	L	o	
341	954646-018-0024	くしょき	區書記	くしょき	align	o	
342	954645-460-0079	かわぶえ	皮笛	かは-ぶえ	align	o	
343	954648-516-0041	めんゆうき	綿結城	めんゆふき	align	o	
344	954648-508-0006	めしもり	飯盛	めし-もり	L	o	
345	954647-454-0010	でっし	涅齒	でっ-し	align	o	
346	954647-128-0007	せんとう	仙洞	せん-とう	L	o	
347	954646-063-0055	くるまいど	車井戸	くるま-ゐど	L	o	
348	954648-688-0055	わたいればおり	綿入羽織	わたいれ-ばおり	align	o	
349	954645-360-0009	かいひょうろく	開票録	かいへう-ろく	align	o	
350	954646-402-0047	さんせちえ	三節會	さん-せちゑ	align	o	
351	954646-058-0009	くらいあらそい	位爭	くらゐ-あらそひ	align	o	
352	954645-112-0061	いきどまり	行止	いき-どまり	L	o	
353	954648-192-0022	びしょう	美少	び-せう	align	o	
354	954647-404-0019	つづり	綴	つづり	L	o	
355	954645-407-0004	かけもの	賭物	かけ-もの	JMdict	o	
356	954646-608-0021	じんたい	人體	じんたい	L	o	
357	954646-603-0034	しんしょう	鍼匠	しん-しゃう	align	o	
358	954648-118-0018	はつまくら	初枕	はつまくら	align	o	
359	954646-451-0006	したさき	舌先	した-さき	L	o	
360	954647-264-0024	たなはし	棚橋	たな-はし	L	o	
361	954645-512-0004	がおうおん	賀王恩	がわうおん	align	o	
362	954648-590-0021	よくじつ	翌日	よく-じつ	L	o	
363	954648-314-0024	へいあんのの	平安幅	へいあんのの	align	o	
364	954648-099-0037	ばくはん	麥飯	ばく-はん	L	o	
365	954648-329-0021	べつみょう	別名	べつ-みゃう	L	o	
366	954648-067-0010	のちかた	後方	のち-かた	align	o	
367	954645-138-0013	いちもんにんぎょう	一文人形	いちもん-にんぎゃう	align	o	
368	954647-382-0041	つかみあg	掴上	つかみ-あぐ	JMdict	o	
369	954648-318-0024	へいそくたい	閉塞隊	へいそく-たい	align	o	
370	954648-090-0003	ほうかいせき	方解石	はうかい-せき	L	o	
371	954648-148-0023	はらん	葉蘭	はらん	L	o	
372	954645-329-0033	おもで	重手	おもで	JMdict	o	
373	954648-613-0003	よりあいしゅう	寄合衆	よりあひしゅう	align	o	
374	954648-038-0062	ぬのばた	布機	ぬの-ばた	align	o	
375	954647-321-0034	ちほうかん	地方官	ちはう-くわん	L	o	
376	954645-388-0057	かきとめ	書留	かき-とめ	L	o	
377	954647-543-0043	ともぐい	共食	とも-ぐひ	L	o	
378	954645-484-0035	かみぎぬ	紙衣	かみぎぬ	align	o	
379	954648-205-0011	ひといき	一息	ひと-いき	L	o	
380	954648-021-0023	にはいず	二杯酢	はいず	L	o	
381	954645-197-0047	うけおいしんでん	請負新田	うけおひしんでん	align	o	
382	954648-528-0026	もとゆいがみ	元結紙	もとゆひがみ	align	o	
383	954645-428-0004	かたがた	方方	かた-がた	JMdict	o	
384	954647-324-0065	ちみどろ	血塗	ち-みどろ	JMdict	o	
385	954646-471-0024	しのぎづくり	鎬作	しのぎ-づくり	align	o	
386	954648-282-0031	ぶっさんし	物産司	ぶっさん-し	align	o	
387	954646-503-0019	じょうげんこう	上元紅	じゃうげん-こう	align	o	
388	954645-561-0003	ぎそつ	騎卒	ぎ-そつ	align	x	紙面は き-そつ
389	954648-078-0008	のれんうち	暖簾内	のれん-うち	align	o	
390	954648-418-0040	まゆたれ	眉垂	まゆ-たれ	align	o	
391	954647-241-0064	たけながし	竹流	たけ-ながし	align	o	
392	954647-471-0017	てんこつ	天骨	てん-こつ	align	o	
393	954645-270-0009	えんきど	鹽基度	えんき-ど	L	o	
394	954645-248-0059	うえめ	植女	うゑ-め	align	o	
395	954648-175-0023	ひきつぎ	引繼	ひき-つぎ	L	o	
396	954648-508-0019	めしりょう	召料	めし-れう	L	o	
397	954648-644-0052	りぶ	吏部	り-ぶ	JMdict	o	
398	954645-367-0012	こうさいかん	交際官	かうさい-くわん	JMdict	o	
399	954648-049-0024	ねじあk	捩開	ねぢ-あける	JMdict	o	
400	954646-371-0054	さつきばれ	五月晴	さつき-ばれ	L	o	
401	954648-511-0064	めはな	目鼻	わはな	L	o	
402	954648-166-0017	びい	美衣	び-い	align	o	
403	954646-252-0050	こじりあて	鐺當	こじり-あて	align	o	
404	954648-254-0021	ふk	吹	ふく	L	o	
405	954645-473-0056	かぶんさいむ	可分債務	かぶん-さいむ	L	o	
406	954647-031-0026	すりばち	擂鉢	すりばち	L	o	
